kind,index,value
SAM,TOTAL.HLSLOW,1.06333247067336489e-01
SAM,TOTAL.HLSUPP,9.24329396038776707e+00
SAM,TOTAL.HSHHLD,1.84013238845738369e+00
SAM,TOTAL.HURBLOW,2.61109251967242617e+00
SAM,TOTAL.HURBUPP,1.23823418548807194e+01
SAM,TOTAL.IMPTAX,0.00000000000000000e+00
SAM,TOTAL.INSTAX,0.00000000000000000e+00
SAM,TOTAL.LABSK,9.81120055396101520e+00
SAM,TOTAL.LABUSKF,7.57246966501350482e-01
SAM,TOTAL.LABUSKIF,2.18115381542087272e+00
SAM,TOTAL.LABUSKLS,1.06333247067339320e-01
SAM,TOTAL.LANDLS,4.59653333253084939e-01
SAM,TOTAL.LANDSH,1.36394339130032266e-01
SAM,TOTAL.ROW,9.03146944904458771e+00
SAM,TOTAL.S-I,5.65033818884565076e+00
SAM,TOTAL.STAX,0.00000000000000000e+00
SAM,TOTAL.TAR,1.86461147831863139e+00
SAM,TOTAL.TRNCSTDOM,0.00000000000000000e+00
SAM,TOTAL.TRNCSTEXP,0.00000000000000000e+00
SAM,TOTAL.TRNCSTIMP,0.00000000000000000e+00
SAM,TOTAL.VATAX,0.00000000000000000e+00
SAM,TOTAL.YTAX,3.72558512807372200e+00
SAM,TRNCSTDOM.TOTAL,0.00000000000000000e+00
SAM,TRNCSTEXP.TOTAL,0.00000000000000000e+00
SAM,TRNCSTIMP.TOTAL,0.00000000000000000e+00
SAM,VATAX.TOTAL,0.00000000000000000e+00
SAM,YTAX.ENTR,1.66376048134621413e+00
SAM,YTAX.HLSUPP,6.87958287589462092e-01
SAM,YTAX.HSHHLD,2.28433046674515437e-02
SAM,YTAX.HURBLOW,1.12891450463665610e-01
SAM,YTAX.HURBUPP,1.23813160400692901e+00
SAM,YTAX.TOTAL,3.72558512807372244e+00
SET.A,AAGEX,0
SET.A,AAGFO,1
SET.A,AAGOT,2
SET.A,AMINE,3
SET.A,ANAFO,4
SET.A,ANAHI,6
SET.A,ANALM,5
SET.A,ANASE,7
SET.AAGR,AAGEX,0
SET.AAGR,AAGFO,1
SET.AAGR,AAGOT,2
SET.AC,AAGEX,0
SET.AC,AAGFO,1
SET.AC,AAGOT,2
SET.AC,ACTTAX,48
SET.AC,AMINE,3
SET.AC,ANAFO,4
SET.AC,ANAHI,6
SET.AC,ANALM,5
SET.AC,ANASE,7
SET.AC,ATAX,32
SET.AC,CAGEX,8
SET.AC,CAGFO,9
SET.AC,CAGOT,10
SET.AC,CAPLSC,20
SET.AC,CAPOT,22
SET.AC,CAPSH,21
SET.AC,CMINE,11
SET.AC,CNAFO,12
SET.AC,CNAHI,14
SET.AC,CNALM,13
SET.AC,CNASE,15
SET.AC,COMTAX,49
SET.AC,DSTK,39
SET.AC,DUM,50
SET.AC,ENTR,30
SET.AC,ETAX,35
SET.AC,EXPTAX,46
SET.AC,FACTAX,44
SET.AC,GOV,36
SET.AC,HLSLOW,26
SET.AC,HLSUPP,25
SET.AC,HSHHLD,27
SET.AC,HURBLOW,29
SET.AC,HURBUPP,28
SET.AC,IMPTAX,45
SET.AC,INSTAX,43
SET.AC,LABSK,19
SET.AC,LABUSKF,17
SET.AC,LABUSKIF,18
SET.AC,LABUSKLS,16
SET.AC,LANDLS,23
SET.AC,LANDSH,24
SET.AC,ROW,37
SET.AC,S-I,38
SET.AC,STAX,33
SET.AC,TAR,34
SET.AC,TOTAL,51
SET.AC,TRNCSTDOM,40
SET.AC,TRNCSTEXP,41
SET.AC,TRNCSTIMP,42
SET.AC,VATAX,47
SET.AC,YTAX,31
SET.C,CAGEX,0
SET.C,CAGFO,1
SET.C,CAGOT,2
SET.C,CMINE,3
SET.C,CNAFO,4
SET.C,CNAHI,6
SET.C,CNALM,5
SET.C,CNASE,7
SET.CAGR,CAGEX,0
SET.CAGR,CAGFO,1
SET.CAGR,CAGOT,2
SET.EN,ENTR,0
SET.F,CAPLSC,4
SET.F,CAPOT,6
SET.F,CAPSH,5
SET.F,LABSK,3
SET.F,LABUSKF,1
SET.F,LABUSKIF,2
SET.F,LABUSKLS,0
SET.F,LANDLS,7
SET.F,LANDSH,8
SET.FCAP,CAPLSC,0
SET.FCAP,CAPOT,2
SET.FCAP,CAPSH,1
SET.FLAB,LABSK,3
SET.FLAB,LABUSKF,1
SET.FLAB,LABUSKIF,2
SET.FLAB,LABUSKLS,0
SET.FLND,LANDLS,0
SET.FLND,LANDSH,1
SET.H,HLSLOW,1
SET.H,HLSUPP,0
SET.H,HSHHLD,2
SET.H,HURBLOW,4
SET.H,HURBUPP,3
SET.INS,ENTR,5
SET.INS,GOV,6
SET.INS,HLSLOW,1
SET.INS,HLSUPP,0
SET.INS,HSHHLD,2
SET.INS,HURBLOW,4
SET.INS,HURBUPP,3
SET.INS,ROW,7
SET.INSD,ENTR,5
SET.INSD,GOV,6
SET.INSD,HLSLOW,1
SET.INSD,HLSUPP,0
SET.INSD,HSHHLD,2
SET.INSD,HURBLOW,4
SET.INSD,HURBUPP,3
SET.INSDNG,ENTR,5
SET.INSDNG,HLSLOW,1
SET.INSDNG,HLSUPP,0
SET.INSDNG,HSHHLD,2
SET.INSDNG,HURBLOW,4
SET.INSDNG,HURBUPP,3
SET.TRDELAS,SIGMAQ,0
SET.TRDELAS,SIGMAT,1
SET.TX,ACTTAX,5
SET.TX,COMTAX,6
SET.TX,EXPTAX,3
SET.TX,FACTAX,1
SET.TX,IMPTAX,2
SET.TX,INSTAX,0
SET.TX,VATAX,4
TAXPAR_RULE,ACTTAX.A,SAMROW.ATAX
TAXPAR_RULE,COMTAX.C,SAMROW.STAX
TAXPAR_RULE,EXPTAX.C,ZERO
TAXPAR_RULE,FACTAX.F,SAMROW.YTAX
TAXPAR_RULE,IMPTAX.C,SAMROW.TAR
TAXPAR_RULE,INSTAX.INSD,SAMROW.YTAX
TAXPAR_RULE,VATAX.A,ZERO
TRADELAS,CAGEX.SIGMAQ,3.00000000000000000e+00
TRADELAS,CAGEX.SIGMAT,1.25000000000000000e+00
TRADELAS,CAGFO.SIGMAQ,3.00000000000000000e+00
TRADELAS,CAGFO.SIGMAT,1.25000000000000000e+00
TRADELAS,CAGOT.SIGMAQ,3.00000000000000000e+00
TRADELAS,CAGOT.SIGMAT,1.25000000000000000e+00
TRADELAS,CMINE.SIGMAQ,7.50000000000000000e-01
TRADELAS,CMINE.SIGMAT,1.25000000000000000e+00
TRADELAS,CNAFO.SIGMAQ,1.25000000000000000e+00
TRADELAS,CNAFO.SIGMAT,2.00000000000000000e+00
TRADELAS,CNAHI.SIGMAQ,1.24300000000000010e+00
TRADELAS,CNAHI.SIGMAT,2.00000000000000000e+00
TRADELAS,CNALM.SIGMAQ,1.50000000000000000e+00
TRADELAS,CNALM.SIGMAT,2.00000000000000000e+00
TRADELAS,CNASE.SIGMAQ,5.00000000000000000e-01
TRADELAS,CNASE.SIGMAT,5.00000000000000000e-01
